ExpectedImmunity,TimeIndex,TimeIndex2,L2IDs,L2Index,L1IDs,L1Index,NObserved
0.549926376626089,2,2,290108,130,288571,8,7
0.42851171866466,2,2,290110,131,288571,8,5
0.111756108987093,2,2,290111,132,288571,8,14
0.986612458315302,2,2,290421,133,288512,1,1
0.527183225752,2,2,290447,134,288622,10,2
0.335196692,2,2,290448,135,288622,10,2
NaN,2,2,290542,136,288629,11,0
NaN,2,2,290543,137,288629,11,0
NaN,2,2,290545,138,288629,11,0
NaN,2,2,290547,139,288629,11,0
NaN,2,2,290549,140,288629,11,0
NaN,2,2,290550,141,288629,11,0
0.986612458315302,2,2,290552,142,288629,11,1
NaN,2,2,290555,143,288629,11,0
NaN,2,2,290558,144,288629,11,0
NaN,2,2,290559,145,288629,11,0
0.986612458315302,2,2,290567,146,288622,10,2
0.974798160839232,2,2,290568,147,288622,10,3
0.816539433543535,2,2,290570,148,288622,10,3
0.404972941260304,2,2,290694,149,288513,2,51
0.590306229157651,2,2,290716,150,288545,5,2
NaN,2,2,290717,151,288545,5,0
0.38789987105255,2,2,290718,152,288545,5,6
0.986612458315302,2,2,290720,153,288545,5,7
0.493306229157651,2,2,290721,154,288545,5,2
0.657741638876868,2,2,290722,155,288545,5,3
NaN,2,2,290724,156,288545,5,0
NaN,2,2,290725,157,288545,5,0
NaN,2,2,290726,158,288545,5,0
0.986612458315302,2,2,290727,159,288545,5,1
0.623230648330825,2,2,290728,160,288545,5,4
0.401403430802741,2,2,290729,161,288545,5,3
NaN,2,2,290730,162,288545,5,0
0,2,2,290734,163,288545,5,1
0.731502921157651,2,2,290735,164,288545,5,2
0.986612458315302,2,2,290737,165,288545,5,3
0.194,2,2,290738,166,288545,5,1
0.428285041660656,2,2,290741,167,288545,5,9
0.492244194474757,2,2,290746,168,288604,9,7
0.738959362120142,2,2,290747,169,288604,9,17
0.607561594063767,2,2,290748,170,288604,9,24
0.48751061361346,2,2,290752,171,288604,9,10
NaN,2,2,290753,172,288604,9,0
0.434383589333333,2,2,290754,173,288604,9,6
0.774529638876868,2,2,290897,174,288719,14,3
0.986612458315302,2,2,290898,175,288719,14,3
0.757318951789181,2,2,290899,176,288719,14,5
NaN,2,2,290901,177,288719,14,0
0.49335943505255,2,2,290905,178,288719,14,6
0.77235556161004,2,2,290906,179,288719,14,22
0.815005051297216,2,2,290907,180,288719,14,7
0.350364,2,2,290913,181,288719,14,1
NaN,2,2,290915,182,288719,14,0
0.382262256,2,2,290939,183,288512,1,3
NaN,2,2,290940,184,288512,1,0
0.413378692,2,2,290945,185,288512,1,2
0.646466408771767,2,2,290965,186,288512,1,3
0.986612458315302,2,2,290984,187,288512,1,3
0.476393384,2,2,291023,188,288512,1,1
0.986612458315302,2,2,291024,189,288512,1,1
0.350364,2,2,291031,190,288512,1,2
NaN,2,2,291034,191,288512,1,0
0.986612458315302,2,2,291036,192,288512,1,1
0.986612458315302,2,2,291037,193,288512,1,1
0.986612458315302,2,2,291041,194,288512,1,1
0.585202336926121,3,3,288755,1,288732,16,5
NaN,3,3,288815,2,288530,3,0
0.493306229157651,3,3,288872,3,288571,8,2
0.580895555264037,3,3,288925,4,288513,2,68
0.571404247970741,3,3,288958,5,288729,15,3
0.394069915330055,3,3,288959,6,288729,15,11
0.482629746774742,3,3,288960,7,288729,15,17
0.678036043676521,3,3,288961,8,288729,15,10
0.340252461333333,3,3,288962,9,288729,15,6
0.409436146151401,3,3,288963,10,288513,2,89
0.587817872372247,3,3,288964,11,288513,2,20
0.420211797447071,3,3,288965,12,288513,2,41
0.447355305369263,3,3,288966,13,288513,2,38
0.535432981112828,3,3,288974,14,288729,15,22
0.604841023671702,3,3,288975,15,288513,2,54
0.409127613142131,3,3,288976,16,288513,2,34
0.456370813956083,3,3,288977,17,288513,2,46
0.34225473064551,3,3,288978,18,288513,2,78
0.526391836109901,3,3,288979,19,288513,2,62
0.461833188151699,3,3,288980,20,288513,2,29
0.628740475152337,3,3,288981,21,288513,2,148
0.536368499889755,3,3,288982,22,288513,2,93
0.260381911599592,3,3,288983,23,288513,2,39
0.123646297060411,3,3,288984,24,288513,2,122
0.320740464028094,3,3,288985,25,288513,2,78
0.178741156983056,3,3,288986,26,288513,2,86
0.508186664089895,3,3,288987,27,288513,2,27
0.32801248180906,3,3,288989,28,288513,2,79
0.418381668230549,3,3,288990,29,288513,2,36
0.516198190087034,3,3,288991,30,288513,2,31
0.446922883255004,3,3,288992,31,288513,2,52
0.493967714214902,3,3,288993,32,288513,2,34
0.526991773625025,3,3,288994,33,288513,2,36
0.558060986395314,3,3,288995,34,288513,2,40
0.669378661895455,3,3,288996,35,288513,2,22
0.276969467069713,3,3,288997,36,288513,2,147
0.568415744238667,3,3,289003,37,288513,2,23
0.5424519840138,3,3,289004,38,288513,2,25
0.474584720744923,3,3,289009,39,288513,2,30
0.476617800666757,3,3,289010,40,288513,2,35
0.513242998317742,3,3,289011,41,288513,2,26
0.345998660360081,3,3,289012,42,288513,2,39
0.507111088780532,3,3,289013,43,288513,2,55
0.576246014533025,3,3,289014,44,288513,2,38
0.572525861425582,3,3,289163,45,288729,15,20
0.858120476878615,3,3,289505,46,288732,16,11
0.713568028173483,3,3,289525,47,288732,16,18
0.674010995282045,3,3,289526,48,288732,16,6
0.986612458315302,3,3,289527,49,288732,16,3
0.986612458315302,3,3,289528,50,288732,16,1
0.559974623914075,3,3,289530,51,288537,4,11
0.690940942532711,3,3,289531,52,288732,16,6
0.680248948046591,3,3,289532,53,288732,16,10
0.889161994525675,3,3,289533,54,288732,16,9
0.836923090033337,3,3,289536,55,288732,16,9
0.986612458315302,3,3,289539,56,288732,16,1
0.65527513692612,3,3,289541,57,288732,16,5
0.434011601022313,3,3,289543,58,288537,4,4
0.859362766652241,3,3,289544,59,288732,16,5
0.42256890833858,3,3,289547,60,288537,4,7
0.565294106427975,3,3,289563,61,288530,3,4
0.431189958876,3,3,289565,62,288530,3,4
0.488266506147605,3,3,289566,63,288530,3,9
0.572941963986634,3,3,289569,64,288530,3,6
0.618909679956112,3,3,289570,65,288530,3,4
0.622196373303975,3,3,289571,66,288530,3,4
0.481103930273175,3,3,289572,67,288537,4,7
0.477703106427975,3,3,289573,68,288530,3,4
0.476393384,3,3,289574,69,288530,3,3
0.350368106273175,3,3,289576,70,288537,4,7
0.513770281658645,3,3,289577,71,288530,3,9
0.508946452735967,3,3,289578,72,288530,3,3
0.426233689168,3,3,289580,73,288537,4,3
0.590525324119983,3,3,289581,74,288530,3,6
0.700601221432881,3,3,289593,75,288537,4,4
0.4353407038016,3,3,289730,76,288708,13,5
0.59875313556386,3,3,289733,77,288708,13,5
0.578289882638493,3,3,289734,78,288708,13,9
0.585202336926121,3,3,289735,79,288708,13,5
NaN,3,3,289736,80,288708,13,0
0.563621912272212,3,3,289738,81,288708,13,9
0.521070800628,3,3,289739,82,288708,13,4
0.562446819438434,3,3,289740,83,288708,13,3
0.986612458315302,3,3,289741,84,288708,13,1
0.577973067504,3,3,289742,85,288708,13,3
0.556107954556881,3,3,289743,86,288708,13,4
0.416122150501333,3,3,289745,87,288708,13,3
NaN,3,3,289746,88,288708,13,0
0.476393384,3,3,289753,89,288708,13,1
0.552335280771767,3,3,289755,90,288708,13,3
0.476393384,3,3,289756,91,288708,13,3
0.413509176247503,3,3,289757,92,288708,13,9
0.476393384,3,3,289761,93,288657,12,1
0.939931577471434,3,3,289764,94,288622,10,7
0.501842460578825,3,3,289765,95,288708,13,4
0.552335280771767,3,3,289767,96,288708,13,3
0.577973067504,3,3,289768,97,288708,13,4
0.1340786768,3,3,289772,98,288547,6,5
0.625343618965541,3,3,289776,99,288547,6,15
0.51889620412357,3,3,289781,100,288547,6,11
0.48742284090519,3,3,289785,101,288547,6,3
0.58328844791865,3,3,289786,102,288547,6,5
0.449262198402681,3,3,289788,103,288547,6,9
0,3,3,289791,104,288547,6,1
0.443413225469408,3,3,289794,105,288547,6,3
0.986612458315302,3,3,289795,106,288622,10,2
0.850399328044868,3,3,289796,107,288622,10,3
0.630373623005547,3,3,289797,108,288622,10,7
0.562023862838606,3,3,289799,109,288547,6,10
0.986612458315302,3,3,289800,110,288657,12,3
0.309427851353196,3,3,289801,111,288547,6,17
0.43450838756105,3,3,289844,112,288513,2,20
0.816539433543535,3,3,289861,113,288657,12,3
0.654716789563701,3,3,289862,114,288657,12,7
0.476393384,3,3,289980,115,288565,7,1
0.522912694201737,3,3,289987,116,288622,10,9
0.536919488402982,3,3,290085,117,288565,7,5
0.535018222799993,3,3,290086,118,288565,7,9
0.476393384,3,3,290087,119,288565,7,3
0.724731437804583,3,3,290088,120,288565,7,7
0.508194025582445,3,3,290089,121,288565,7,5
0.590876352945693,3,3,290090,122,288565,7,30
0.469158407858169,3,3,290091,123,288565,7,9
0.501788304876,3,3,290092,124,288565,7,4
0.512891633578825,3,3,290093,125,288565,7,8
NaN,3,3,290094,126,288571,8,0
0.569737649280911,3,3,290104,127,288571,8,5
0.986612458315302,3,3,290105,128,288571,8,2
0.050052,3,3,290106,129,288571,8,7
0.372496484969884,3,3,290108,130,288571,8,6
0,3,3,290110,131,288571,8,2
0.217737373814468,3,3,290111,132,288571,8,9
NaN,3,3,290421,133,288512,1,0
0.986612458315302,3,3,290447,134,288622,10,3
0.921418371656733,3,3,290448,135,288622,10,4
0.986612458315302,3,3,290542,136,288629,11,2
NaN,3,3,290543,137,288629,11,0
NaN,3,3,290545,138,288629,11,0
0.986612458315302,3,3,290547,139,288629,11,1
0.780101520820711,3,3,290549,140,288629,11,10
NaN,3,3,290550,141,288629,11,0
NaN,3,3,290552,142,288629,11,0
0.590306229157651,3,3,290555,143,288629,11,2
NaN,3,3,290558,144,288629,11,0
NaN,3,3,290559,145,288629,11,0
NaN,3,3,290567,146,288622,10,0
0.577973067504,3,3,290568,147,288622,10,1
0.747343249443404,3,3,290570,148,288622,10,3
0.482657073945622,3,3,290694,149,288513,2,32
0.722408305543535,3,3,290716,150,288545,5,3
NaN,3,3,290717,151,288545,5,0
0.361204152771767,3,3,290718,152,288545,5,6
0.699015257077908,3,3,290720,153,288545,5,8
0.986612458315302,3,3,290721,154,288545,5,1
0.194,3,3,290722,155,288545,5,1
0,3,3,290724,156,288545,5,1
NaN,3,3,290725,157,288545,5,0
NaN,3,3,290726,158,288545,5,0
NaN,3,3,290727,159,288545,5,0
0.566957127500066,3,3,290728,160,288545,5,5
0.577973067504,3,3,290729,161,288545,5,1
NaN,3,3,290730,162,288545,5,0
0.986612458315302,3,3,290734,163,288545,5,2
NaN,3,3,290735,164,288545,5,0
0.986612458315302,3,3,290737,165,288545,5,3
0.385986533752,3,3,290738,166,288545,5,2
0.350364,3,3,290741,167,288545,5,1
0.56012376313393,3,3,290746,168,288604,9,10
0.546062614105101,3,3,290747,169,288604,9,6
0.506178328418667,3,3,290748,170,288604,9,6
0.54834138196386,3,3,290752,171,288604,9,5
0.572440806578825,3,3,290753,172,288604,9,4
0.487668614105101,3,3,290754,173,288604,9,3
0.680326303273101,3,3,290897,174,288719,14,3
0.986612458315302,3,3,290898,175,288719,14,1
0.668488229157651,3,3,290899,176,288719,14,4
0.52379039546466,3,3,290901,177,288719,14,5
0.654737994330825,3,3,290905,178,288719,14,4
0.835983179151493,3,3,290906,179,288719,14,17
0.841853399134124,3,3,290907,180,288719,14,9
0.731502921157651,3,3,290913,181,288719,14,2
NaN,3,3,290915,182,288719,14,0
0.986612458315302,3,3,290939,183,288512,1,1
NaN,3,3,290940,184,288512,1,0
NaN,3,3,290945,185,288512,1,0
0.921418371656734,3,3,290965,186,288512,1,4
0.986612458315302,3,3,290984,187,288512,1,3
0.986612458315302,3,3,291023,188,288512,1,1
0.986612458315302,3,3,291024,189,288512,1,1
0.986612458315302,3,3,291031,190,288512,1,1
NaN,3,3,291034,191,288512,1,0
NaN,3,3,291036,192,288512,1,0
0.986612458315302,3,3,291037,193,288512,1,1
NaN,3,3,291041,194,288512,1,0
0.986612458315302,4,4,288755,1,288732,16,3
0.856445974207901,4,4,288815,2,288530,3,2
0.592999501696415,4,4,288872,3,288571,8,8
0.562094898753336,4,4,288925,4,288513,2,67
0.625419906584005,4,4,288958,5,288729,15,3
NaN,4,4,288959,6,288729,15,0
0.605537720377933,4,4,288960,7,288729,15,24
0.594145732069564,4,4,288961,8,288729,15,11
0.414251460578825,4,4,288962,9,288729,15,4
0.350127048087426,4,4,288963,10,288513,2,120
0.558800182244196,4,4,288964,11,288513,2,20
0.350981056223116,4,4,288965,12,288513,2,41
0.534555558225889,4,4,288966,13,288513,2,30
